date;Finland;Angola;New Zealand
2020-01-22;0.0;0.0;0.0
2020-01-23;0.0;0.0;0.0
2020-01-24;0.0;0.0;0.0
2020-01-25;0.0;0.0;0.0
2020-01-26;0.0;0.0;0.0
2020-01-27;0.0;0.0;0.0
2020-01-28;0.0;0.0;0.0
2020-01-29;1.8122343943965712e-05;0.0;0.0
2020-01-30;1.8122343943965712e-05;0.0;0.0
2020-01-31;1.8122343943965712e-05;0.0;0.0
2020-02-01;1.8122343943965712e-05;0.0;0.0
2020-02-02;1.8122343943965712e-05;0.0;0.0
2020-02-03;1.8122343943965712e-05;0.0;0.0
2020-02-04;1.8122343943965712e-05;0.0;0.0
2020-02-05;1.8122343943965712e-05;0.0;0.0
2020-02-06;1.8122343943965712e-05;0.0;0.0
2020-02-07;1.8122343943965712e-05;0.0;0.0
2020-02-08;1.8122343943965712e-05;0.0;0.0
2020-02-09;1.8122343943965712e-05;0.0;0.0
2020-02-10;1.8122343943965712e-05;0.0;0.0
2020-02-11;3.6244687887931425e-05;0.0;0.0
2020-02-12;3.6244687887931425e-05;0.0;0.0
2020-02-13;3.6244687887931425e-05;0.0;0.0
2020-02-14;3.6244687887931425e-05;0.0;0.0
2020-02-15;3.6244687887931425e-05;0.0;0.0
2020-02-16;3.6244687887931425e-05;0.0;0.0
2020-02-17;3.6244687887931425e-05;0.0;0.0
2020-02-18;3.6244687887931425e-05;0.0;0.0
2020-02-19;3.6244687887931425e-05;0.0;0.0
2020-02-20;3.6244687887931425e-05;0.0;0.0
2020-02-21;3.6244687887931425e-05;0.0;0.0
2020-02-22;3.6244687887931425e-05;0.0;0.0
2020-02-23;5.436703183189714e-05;0.0;0.0
2020-02-24;5.436703183189714e-05;0.0;0.0
2020-02-25;5.436703183189714e-05;0.0;0.0
2020-02-26;7.248937577586285e-05;0.0;0.0
2020-02-27;7.248937577586285e-05;0.0;0.0
2020-02-28;9.061171971982857e-05;0.0;2.0468734008801556e-05
2020-02-29;0.0001449787515517257;0.0;2.0468734008801556e-05
2020-03-01;0.0001631010954956914;0.0;2.0468734008801556e-05
2020-03-02;0.00018122343943965713;0.0;2.0468734008801556e-05
2020-03-03;0.00018122343943965713;0.0;2.0468734008801556e-05
2020-03-04;0.00025371281521551994;0.0;6.140620202640467e-05
2020-03-05;0.00036244687887931426;0.0;6.140620202640467e-05
2020-03-06;0.00038056922282328;0.0;8.187493603520622e-05
2020-03-07;0.0005074256304310399;0.0;0.00010234367004400778
2020-03-08;0.0006342820380387999;0.0;0.00010234367004400778
2020-03-09;0.0007973831335344914;0.0;0.00010234367004400778
2020-03-10;0.0011054629805819084;0.0;0.00010234367004400778
2020-03-11;0.002084069553556057;0.0;0.00010234367004400778
2020-03-12;0.0034613676932974515;0.0;0.00010234367004400778
2020-03-13;0.0045487083299353935;0.0;0.00010234367004400778
2020-03-14;0.005056133960366434;0.0;0.00012281240405280933
2020-03-15;0.005581681934741439;0.0;0.00016374987207041245
2020-03-16;0.006542166163771622;0.0;0.00016374987207041245
2020-03-17;0.007484528048857839;0.0;0.00024562480810561867
2020-03-18;0.008336278214224228;0.0;0.0004093746801760311
2020-03-19;0.009967289169181142;0.0;0.0005731245522464436
2020-03-20;0.011761401219633748;3.245724520689254e-06;0.0007982806263432607
2020-03-21;0.013338045142758765;6.491449041378508e-06;0.0010643741684576808
2020-03-22;0.014914689065883781;6.491449041378508e-06;0.0020878108688977587
2020-03-23;0.016328231893513106;9.737173562067764e-06;0.0020878108688977587
2020-03-24;0.017850508784806228;9.737173562067764e-06;0.0031726537713642412
2020-03-25;0.019644620835258832;9.737173562067764e-06;0.004196090471804319
2020-03-26;0.021529344605431266;1.2982898082757016e-05;0.005792651724490841
2020-03-27;0.02357716947109939;1.2982898082757016e-05;0.007532494115238974
2020-03-28;0.025298792145776138;1.622862260344627e-05;0.0092313990379695
2020-03-29;0.026694212629461495;2.272007164482478e-05;0.010520929280523998
2020-03-30;0.027962776705539094;2.272007164482478e-05;0.012056084331184116
2020-03-31;0.030300559074310673;2.272007164482478e-05;0.013243270903694605
2020-04-01;0.03256585206730638;2.5965796165514033e-05;0.014491863678231501
2020-04-02;0.03526608131495728;2.5965796165514033e-05;0.01631358100501484
2020-04-03;0.038183778689935756;2.5965796165514033e-05;0.01776686111963975
2020-04-04;0.04179012513478493;3.245724520689254e-05;0.01944529730836148
2020-04-05;0.04325803499424616;4.544014328964956e-05;0.021267014635144816
2020-04-06;0.04546896095540997;5.1931592331028066e-05;0.02263841981373452
2020-04-07;0.04925653083969881;5.5177316851717326e-05;0.023743731450209804
2020-04-08;0.052880999628491944;6.166876589309583e-05;0.024767168150649884
2020-04-09;0.055381883092759224;6.166876589309583e-05;0.02536076143690513
2020-04-10;0.058245213435905795;6.166876589309583e-05;0.026261385733292397
2020-04-11;0.05953189985592736;6.166876589309583e-05;0.026854979019547642
2020-04-12;0.0608910756517248;6.166876589309583e-05;0.027223416231706068
2020-04-13;0.06234086316724205;6.166876589309583e-05;0.027612322177873298
2020-04-14;0.06446117740868604;6.166876589309583e-05;0.027960290656022922
2020-04-15;0.06763258759888004;6.166876589309583e-05;0.028369665336198956
2020-04-16;0.06998849231159558;6.166876589309583e-05;0.028676696346330976
2020-04-17;0.07216317358487147;6.166876589309583e-05;0.02884044621840139
2020-04-18;0.07442846657786718;7.789738849654211e-05;0.029106539760515814
2020-04-19;0.07544331783872926;7.789738849654211e-05;0.02929075836659503
2020-04-20;0.07665751488297497;7.789738849654211e-05;0.02947497697267424
